Open Time (ET),Close Time (ET),Trading Date,Direction,Entry Price,Exit Price,Profit/Loss,Status,Duration (min),Is Quick Stop,ADX,Plus DI,Minus DI,Trend Direction,Trend Strength,Is Strong Trend,Is Golden Cross,Is Death Cross,Keltner Upper,Keltner Middle,Keltner Lower,Entry vs Keltner,Bollinger Upper,Bollinger Lower,BB Bandwidth,Is Squeezing,Volatility Level,ATR
2025-01-13 11:57:01,2025-01-13 12:10:00,2025-01-13,Short,5823.75,5832.25,-425.00,Loss,12,true,24.60,15.44,28.96,Doji,Weak,false,false,true,5838.02,5832.74,5827.45,Below Lower,5842.84,5822.63,0.0035,true,Low,3.52
2025-01-13 12:11:01,2025-01-13 15:58:00,2025-01-13,Long,5832.50,5875.75,2162.50,Profit,226,false,34.66,28.10,14.56,Up,Strong,true,true,false,5831.65,5825.65,5819.65,Above Upper,5835.41,5815.89,0.0034,true,Normal,4.00
2025-01-14 09:54:01,2025-01-14 10:09:00,2025-01-14,Short,5886.50,5899.50,-650.00,Loss,14,true,31.61,8.38,34.85,Down,Strong,true,false,true,5908.45,5900.63,5892.80,Below Lower,5913.41,5887.84,0.0043,true,Normal,5.22
2025-01-14 10:16:01,2025-01-14 10:24:00,2025-01-14,Long,5902.50,5897.25,-262.50,Loss,7,true,39.79,32.83,21.21,Up,Strong,true,true,false,5900.95,5894.25,5887.55,Above Upper,5909.03,5879.47,0.0050,true,Normal,4.47
2025-01-14 11:01:01,2025-01-14 11:26:00,2025-01-14,Short,5875.00,5873.25,87.50,Profit,24,false,33.07,11.08,31.66,Down,Strong,true,false,true,5891.46,5884.76,5878.07,Below Lower,5896.33,5873.19,0.0039,true,Normal,4.46
2025-01-14 11:28:01,2025-01-14 11:30:00,2025-01-14,Long,5876.50,5867.75,-437.50,Loss,1,true,30.77,23.27,19.52,Up,Strong,true,true,false,5876.27,5870.01,5863.76,Above Upper,5876.11,5863.91,0.0021,true,Normal,4.17
2025-01-14 11:44:01,2025-01-14 12:12:00,2025-01-14,Short,5854.50,5857.75,-162.50,Loss,27,false,31.93,12.71,32.84,Down,Strong,true,false,true,5872.79,5866.84,5860.89,Below Lower,5879.60,5854.08,0.0044,true,Normal,3.97
2025-01-14 15:03:01,2025-01-14 15:26:00,2025-01-14,Short,5856.25,5864.00,-387.50,Loss,22,false,61.91,3.90,48.18,Down,Very Strong,true,false,true,5882.46,5877.08,5871.69,Below Lower,5900.56,5853.59,0.0080,true,Normal,3.59
2025-01-14 15:52:01,2025-01-14 15:58:00,2025-01-14,Long,5875.75,5878.75,150.00,Profit,5,true,31.04,34.31,12.86,Up,Strong,true,true,false,5870.25,5863.85,5857.45,Above Upper,5874.84,5852.86,0.0037,true,Normal,4.27
2025-01-15 09:46:01,2025-01-15 10:37:00,2025-01-15,Long,5974.00,5976.00,100.00,Profit,50,false,19.26,28.65,16.24,Doji,Weak,false,true,false,5972.59,5966.39,5960.19,Above Upper,5976.56,5956.21,0.0034,true,Normal,4.13
