Timestamp,Timestamp_ET,Order_Type,Entry_Type,Status,Low,High,Entry_Point,Stop_Loss,Take_Profit,Profit_Multiplier,Risk_Dollars,Contracts,At_Risk,Potential,Placed_Timestamp,Placed_Timestamp_ET,Filled_Timestamp,Filled_Timestamp_ET,Close_Timestamp,Close_Timestamp_ET,Cancel_Reason
1729079700000,2024-10-16 11:55:00,Long,EngulfingOrderBlock,Profit,5865.0,5866.0,5866.0,5865.0,5868.0,2.0,550.0,110,550.0,1100.0,1729079760000,2024-10-16 11:56:00,1729079760000,2024-10-16 11:56:00,1729080060000,2024-10-16 12:01:00,
1729080660000,2024-10-16 12:11:00,Short,EngulfingOrderBlock,Profit,5871.0,5872.0,5871.0,5872.0,5869.0,2.0,550.0,110,550.0,1100.0,1729080720000,2024-10-16 12:12:00,1729080720000,2024-10-16 12:12:00,1729080840000,2024-10-16 12:14:00,
1729081620000,2024-10-16 12:27:00,Short,EngulfingOrderBlock,Loss,5872.75,5873.75,5872.75,5873.75,5870.75,2.0,550.0,110,550.0,1100.0,1729081680000,2024-10-16 12:28:00,1729081680000,2024-10-16 12:28:00,1729081800000,2024-10-16 12:30:00,
1729084920000,2024-10-16 13:22:00,Long,EngulfingOrderBlock,Profit,5873.75,5875.25,5875.25,5873.75,5878.25,2.0,550.0,73,547.5,1095.0,1729084980000,2024-10-16 13:23:00,1729084980000,2024-10-16 13:23:00,1729085280000,2024-10-16 13:28:00,
1729085100000,2024-10-16 13:25:00,Long,EngulfingOrderBlock,Profit,5874.25,5875.5,5875.5,5874.25,5878.0,2.0,550.0,88,550.0,1100.0,1729085340000,2024-10-16 13:29:00,1729085340000,2024-10-16 13:29:00,1729086180000,2024-10-16 13:43:00,
1729085340000,2024-10-16 13:29:00,Short,EngulfingOrderBlock,Cancelled,5877.25,5878.0,5877.25,5878.0,5875.75,2.0,550.0,146,547.5,1095.0,,,,,1729085940000,2024-10-16 13:39:00,More than ten minutes have passed and the candle wicked outside the order.
1729086900000,2024-10-16 13:55:00,Long,EngulfingOrderBlock,Cancelled,5877.75,5878.5,5878.5,5877.75,5880.0,2.0,550.0,146,547.5,1095.0,1729086960000,2024-10-16 13:56:00,,,1729087080000,2024-10-16 13:58:00,A full candle fell outside the range of the order.
1729089120000,2024-10-16 14:32:00,Short,EngulfingOrderBlock,Profit,5890.5,5892.75,5890.5,5892.75,5886.0,2.0,550.0,48,540.0,1080.0,1729089180000,2024-10-16 14:33:00,1729089180000,2024-10-16 14:33:00,1729090860000,2024-10-16 15:01:00,
1729090200000,2024-10-16 14:50:00,Short,EngulfingOrderBlock,Cancelled,5889.25,5890.5,5889.25,5890.5,5886.75,2.0,550.0,88,550.0,1100.0,,,,,1729090860000,2024-10-16 15:01:00,More than ten minutes have passed and the candle wicked outside the order.
1729161120000,2024-10-17 10:32:00,Long,EngulfingOrderBlock,Loss,5898.75,5901.5,5901.5,5898.75,5907.0,2.0,550.0,40,550.0,1100.0,1729161180000,2024-10-17 10:33:00,1729161180000,2024-10-17 10:33:00,1729161300000,2024-10-17 10:35:00,
1729163100000,2024-10-17 11:05:00,Long,EngulfingOrderBlock,Profit,5887.0,5891.0,5891.0,5887.0,5899.0,2.0,550.0,27,540.0,1080.0,1729163160000,2024-10-17 11:06:00,1729163160000,2024-10-17 11:06:00,1729163640000,2024-10-17 11:14:00,
1729164660000,2024-10-17 11:31:00,Short,EngulfingOrderBlock,Loss,5903.5,5905.75,5903.5,5905.75,5899.0,2.0,550.0,48,540.0,1080.0,1729164720000,2024-10-17 11:32:00,1729164720000,2024-10-17 11:32:00,1729165080000,2024-10-17 11:38:00,
1729164900000,2024-10-17 11:35:00,Short,EngulfingOrderBlock,Cancelled,5903.75,5905.5,5903.75,5905.5,5900.25,2.0,550.0,62,542.5,1085.0,,,,,1729165200000,2024-10-17 11:40:00,More than ten minutes have passed and the candle wicked outside the order.
1729170420000,2024-10-17 13:07:00,Short,EngulfingOrderBlock,Loss,5907.75,5910.0,5907.75,5910.0,5903.25,2.0,550.0,48,540.0,1080.0,1729170480000,2024-10-17 13:08:00,1729170480000,2024-10-17 13:08:00,1729172880000,2024-10-17 13:48:00,
1729171560000,2024-10-17 13:26:00,Long,EngulfingOrderBlock,Cancelled,5904.75,5905.5,5905.5,5904.75,5907.0,2.0,550.0,146,547.5,1095.0,,,,,1729171980000,2024-10-17 13:33:00,More than ten minutes have passed and the candle wicked outside the order.
1729173480000,2024-10-17 13:58:00,Long,EngulfingOrderBlock,Loss,5906.0,5907.0,5907.0,5906.0,5909.0,2.0,550.0,110,550.0,1100.0,1729173540000,2024-10-17 13:59:00,1729173540000,2024-10-17 13:59:00,1729173600000,2024-10-17 14:00:00,
1729174320000,2024-10-17 14:12:00,Long,EngulfingOrderBlock,Loss,5889.25,5891.5,5891.5,5889.25,5896.0,2.0,550.0,48,540.0,1080.0,1729174380000,2024-10-17 14:13:00,1729174380000,2024-10-17 14:13:00,1729174740000,2024-10-17 14:19:00,
1729178160000,2024-10-17 15:16:00,Short,EngulfingOrderBlock,Profit,5895.5,5896.75,5895.5,5896.75,5893.0,2.0,550.0,88,550.0,1100.0,1729178220000,2024-10-17 15:17:00,1729178220000,2024-10-17 15:17:00,1729178400000,2024-10-17 15:20:00,
1729179180000,2024-10-17 15:33:00,Long,EngulfingOrderBlock,Loss,5887.5,5889.25,5889.25,5887.5,5892.75,2.0,550.0,62,542.5,1085.0,1729179240000,2024-10-17 15:34:00,1729179240000,2024-10-17 15:34:00,1729179480000,2024-10-17 15:38:00,
1729246260000,2024-10-18 10:11:00,Short,EngulfingOrderBlock,Profit,5897.5,5899.75,5897.5,5899.75,5893.0,2.0,550.0,48,540.0,1080.0,1729246320000,2024-10-18 10:12:00,1729246320000,2024-10-18 10:12:00,1729246500000,2024-10-18 10:15:00,
1729246740000,2024-10-18 10:19:00,Long,EngulfingOrderBlock,Loss,5892.75,5895.5,5895.5,5892.75,5901.0,2.0,550.0,40,550.0,1100.0,1729246800000,2024-10-18 10:20:00,1729246800000,2024-10-18 10:20:00,1729246980000,2024-10-18 10:23:00,
1729247520000,2024-10-18 10:32:00,Short,EngulfingOrderBlock,Profit,5894.75,5896.5,5894.75,5896.5,5891.25,2.0,550.0,62,542.5,1085.0,1729247580000,2024-10-18 10:33:00,1729247580000,2024-10-18 10:33:00,1729247760000,2024-10-18 10:36:00,
1729248960000,2024-10-18 10:56:00,Long,EngulfingOrderBlock,Profit,5894.0,5896.0,5896.0,5894.0,5900.0,2.0,550.0,55,550.0,1100.0,1729249020000,2024-10-18 10:57:00,1729249080000,2024-10-18 10:58:00,1729249860000,2024-10-18 11:11:00,
1729251180000,2024-10-18 11:33:00,Short,EngulfingOrderBlock,Cancelled,5904.0,5905.75,5904.0,5905.75,5900.5,2.0,550.0,62,542.5,1085.0,1729251240000,2024-10-18 11:34:00,,,1729251780000,2024-10-18 11:43:00,More than ten minutes have passed and the candle wicked outside the order.
1729256220000,2024-10-18 12:57:00,Short,EngulfingOrderBlock,Profit,5912.0,5913.75,5912.0,5913.75,5908.5,2.0,550.0,62,542.5,1085.0,1729256280000,2024-10-18 12:58:00,1729256280000,2024-10-18 12:58:00,1729256340000,2024-10-18 12:59:00,
